# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 26 09:50:46 2025
#
# User preference: *
#
# CONSTRAINT:  where (hostname like '%kep%'
# CONSTRAINT:  and default_flag > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-139 b,Kepler-139,1,1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,15.77104400000,0.00003700000,-0.00003700000,0,0.1270000000,,,0,2.94000000,0.57000000,-0.57000000,0,0.26200000,0.05100000,-0.05100000,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5594.00,100.00,-100.00,0,1.300000,0.251000,-0.251000,0,,,,,,,,,,4.247000,0.150000,-0.150000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h49m34.07s,282.3919451,+43d53m21.90s,43.8894167,391.03800000,4.23800000,-4.14900000,12.7750000,0.0920000,-0.0920000,11.1670000,0.0160000,-0.0160000,12.6770000,0.0001840,-0.0001840,2014-05-14,2014-03,2014-05-14
Kepler-139 c,Kepler-139,1,1,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,157.07287800000,0.00172000000,-0.00172000000,0,0.5860000000,,,0,3.38000000,0.69000000,-0.69000000,0,0.30200000,0.06200000,-0.06200000,0,,,,,,,,,,,,,,,,,,,,,,,1,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5594.00,100.00,-100.00,0,1.300000,0.251000,-0.251000,0,,,,,,,,,,4.247000,0.150000,-0.150000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h49m34.07s,282.3919451,+43d53m21.90s,43.8894167,391.03800000,4.23800000,-4.14900000,12.7750000,0.0920000,-0.0920000,11.1670000,0.0160000,-0.0160000,12.6770000,0.0001840,-0.0001840,2014-05-14,2014-03,2014-05-14
Kepler-139 d,Kepler-139,1,1,5,Transit,2023,Kepler,Published Confirmed,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,7.30569992200,,,0,0.0755533961,,,0,1.69500000,0.06100000,-0.06100000,0,0.15121803,0.00544206,-0.00544206,0,,4.65807623,2.00176302,-2.00176302,0,0.01465595,0.00629825,-0.00629825,0,Msini,0.000000,,,0,,,,,,,,,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,,,,,,,,,,1.078000,0.025500,-0.025500,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h49m34.07s,282.3919451,+43d53m21.90s,43.8894167,391.03800000,4.23800000,-4.14900000,12.7750000,0.0920000,-0.0920000,11.1670000,0.0160000,-0.0160000,12.6770000,0.0001840,-0.0001840,2024-02-21,2024-01,2024-02-21
Kepler-139 e,Kepler-139,1,1,5,Radial Velocity,2023,W. M. Keck Observatory,Published Confirmed,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,2047.63537300000,65.62378300000,-65.62378300000,0,3.2357963900,,,0,,,,,,,,,,426.11581520,42.68703762,-42.68703762,0,1.34071029,0.13430844,-0.13430844,0,Msini,0.013121,0.046302,-0.046302,0,,,,,,,,,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,,,,,,,,,,1.078000,0.025500,-0.025500,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h49m34.07s,282.3919451,+43d53m21.90s,43.8894167,391.03800000,4.23800000,-4.14900000,12.7750000,0.0920000,-0.0920000,11.1670000,0.0160000,-0.0160000,12.6770000,0.0001840,-0.0001840,2024-02-16,2024-01,2024-02-16
Kepler-139 f,Kepler-139,1,1,5,Transit Timing Variations,2025,Multiple Observatories,Published Confirmed,0,<a refstr=LAMMERS__AMP__WINN_2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250413160L/abstract target=ref>Lammers &amp; Winn 2025</a>,355.00000000000,2.00000000000,-2.00000000000,0,,,,,,,,,,,,,36.00000000,36.00000000,10.00000000,-10.00000000,0,0.11326867,0.03146352,-0.03146352,0,Mass,,,,,,,,,,,,,0,<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>,,5630.00,60.00,-60.00,0,1.045000,0.026000,-0.025000,0,1.078000,0.028000,-0.034000,0,0.3500,0.0400,-0.0400,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h49m34.07s,282.3919451,+43d53m21.90s,43.8894167,391.03800000,4.23800000,-4.14900000,12.7750000,0.0920000,-0.0920000,11.1670000,0.0160000,-0.0160000,12.6770000,0.0001840,-0.0001840,2025-04-29,2025-04,2025-04-29
Kepler-1390 b,Kepler-1390,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,6.48021673000,0.00004630000,-0.00004630000,0,,,,,1.18000000,0.25000000,-0.13000000,0,0.10527255,0.02230351,-0.01159782,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5753.00,141.59,-169.25,0,0.980000,0.201000,-0.096000,0,0.980000,0.065000,-0.066000,0,-0.0100,0.1370,-0.1860,0,[Fe/H],4.450000,0.069000,-0.155000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m38.99s,298.6624419,+48d14m55.92s,48.2488659,723.43100000,10.54050000,-10.54050000,14.5580000,0.1720000,-0.1720000,12.7640000,0.0270000,-0.0270000,14.4022000,0.0002690,-0.0002690,2016-05-06,2016-05,2016-05-10
Kepler-1391 b,Kepler-1391,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,54.40923330000,0.00052360000,-0.00052360000,0,,,,,1.68000000,0.26000000,-0.18000000,0,0.14987956,0.02319565,-0.01605852,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5840.00,90.40,-77.55,0,1.100000,0.166000,-0.109000,0,1.030000,0.047000,-0.041000,0,0.0400,0.0950,-0.0920,0,[Fe/H],4.360000,0.095000,-0.109000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m19.43s,294.8309749,+46d39m34.48s,46.6595768,1038.35000000,17.55500000,-17.55500000,13.9060000,0.0570000,-0.0570000,12.3660000,0.0180000,-0.0180000,13.8283000,0.0002140,-0.0002140,2016-05-06,2016-05,2016-05-10
Kepler-1392 b,Kepler-1392,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,15.14103970000,0.00011350000,-0.00011350000,0,,,,,1.96000000,0.22000000,-0.16000000,0,0.17485949,0.01962709,-0.01427424,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5479.00,80.63,-80.97,0,0.850000,0.089000,-0.066000,0,0.880000,0.046000,-0.055000,0,-0.1100,0.1590,-0.1770,0,[Fe/H],4.530000,0.047000,-0.103000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h15m04.08s,288.7669819,+46d23m40.02s,46.3944497,,,,15.9630000,0.1950000,-0.1950000,13.9390000,0.0440000,-0.0440000,15.6665000,0.0010510,-0.0010510,2016-05-06,2016-05,2016-05-10
Kepler-1393 b,Kepler-1393,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.44357812000,0.00001231000,-0.00001231000,0,,,,,0.80000000,0.04000000,-0.08000000,0,0.07137122,0.00356856,-0.00713712,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5697.00,65.18,-56.74,0,0.920000,0.049000,-0.044000,0,0.950000,0.041000,-0.046000,0,-0.0900,0.1130,-0.1250,0,[Fe/H],4.500000,0.034000,-0.049000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m50.27s,284.4594558,+40d08m32.91s,40.1424756,544.45600000,,,13.4760000,0.0690000,-0.0690000,11.8160000,0.0180000,-0.0180000,13.3324000,0.0002640,-0.0002640,2016-05-06,2016-05,2016-05-10
Kepler-1394 b,Kepler-1394,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.93766373000,0.00003657000,-0.00003657000,0,,,,,1.39000000,0.20000000,-0.22000000,0,0.12400749,0.01784280,-0.01962709,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6481.00,65.36,-62.24,0,2.550000,0.346000,-0.391000,0,1.640000,0.091000,-0.124000,0,0.0600,0.0820,-0.0490,0,[Fe/H],3.840000,0.111000,-0.085000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h53m48.77s,283.4532068,+45d05m02.66s,45.0840729,640.40900000,8.22600000,-8.02300000,11.7140000,0.0190000,-0.0190000,10.6790000,0.0160000,-0.0160000,11.7144000,0.0002290,-0.0002290,2016-05-06,2016-05,2016-05-10
Kepler-1395 b,Kepler-1395,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,3.78470649000,0.00002720000,-0.00002720000,0,,,,,0.80000000,0.09000000,-0.06000000,0,0.07137122,0.00802926,-0.00535284,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6138.00,66.83,-60.63,0,1.230000,0.120000,-0.084000,0,1.170000,0.039000,-0.033000,0,0.1200,0.0730,-0.0680,0,[Fe/H],4.330000,0.059000,-0.073000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h29m21.00s,292.3374945,+47d39m51.02s,47.6641732,492.89400000,7.08900000,-6.89400000,12.6320000,0.0570000,-0.0570000,11.2900000,0.0190000,-0.0190000,12.5360000,0.0001710,-0.0001710,2016-05-06,2016-05,2016-05-10
Kepler-1396 b,Kepler-1396,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,18.22064210000,0.00013760000,-0.00013760000,0,,,,,2.07000000,0.79000000,-0.37000000,0,0.18467303,0.07047908,-0.03300919,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6195.00,181.71,-189.71,0,1.270000,0.462000,-0.181000,0,1.180000,0.170000,-0.101000,0,0.0400,0.1270,-0.1530,0,[Fe/H],4.300000,0.103000,-0.217000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m20.73s,294.3363936,+44d55m05.63s,44.9182296,1066.46000000,21.16000000,-21.16000000,14.6910000,0.2170000,-0.2170000,13.1730000,0.0340000,-0.0340000,14.5271000,0.0002610,-0.0002610,2016-05-06,2016-05,2016-05-10
Kepler-1397 b,Kepler-1397,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,47.44995500000,0.00075200000,-0.00075200000,0,,,,,1.72000000,0.19000000,-0.14000000,0,0.15344812,0.01695066,-0.01248996,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6026.00,97.07,-95.81,0,1.120000,0.111000,-0.081000,0,1.090000,0.041000,-0.047000,0,0.0000,0.0780,-0.0830,0,[Fe/H],4.370000,0.058000,-0.078000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h58m42.21s,299.6758812,+47d04m32.96s,47.0758234,1198.25000000,24.80000000,-23.82000000,14.3240000,0.1140000,-0.1140000,12.4680000,0.0200000,-0.0200000,14.0909000,0.0002610,-0.0002610,2016-05-06,2016-05,2016-05-10
Kepler-1398 b,Kepler-1398,1,1,2,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.78815679000,0.00002021000,-0.00002021000,0,,,,,0.90000000,0.28000000,-0.12000000,0,0.08029262,0.02497993,-0.01070568,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6126.00,115.41,-125.42,0,1.180000,0.371000,-0.140000,0,1.130000,0.118000,-0.081000,0,0.0100,0.1360,-0.1720,0,[Fe/H],4.340000,0.091000,-0.192000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m27.87s,294.8661073,+48d38m20.37s,48.6389923,852.20400000,10.60900000,-10.60900000,13.7520000,0.1030000,-0.1030000,12.3550000,0.0210000,-0.0210000,13.6605000,0.0002280,-0.0002280,2016-05-06,2016-05,2016-05-10
Kepler-1398 c,Kepler-1398,1,1,2,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4.13827595000,0.00002616000,-0.00002616000,0,,,,,1.03000000,0.37000000,-0.15000000,0,0.09189045,0.03300919,-0.01338210,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6126.00,115.41,-125.42,0,1.180000,0.371000,-0.140000,0,1.130000,0.118000,-0.081000,0,0.0100,0.1360,-0.1720,0,[Fe/H],4.340000,0.091000,-0.192000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m27.87s,294.8661073,+48d38m20.37s,48.6389923,852.20400000,10.60900000,-10.60900000,13.7520000,0.1030000,-0.1030000,12.3550000,0.0210000,-0.0210000,13.6605000,0.0002280,-0.0002280,2016-05-06,2016-05,2016-05-10
Kepler-1399 b,Kepler-1399,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.63865305800,0.00000895200,-0.00000895200,0,,,,,1.25000000,0.22000000,-0.11000000,0,0.11151753,0.01962709,-0.00981354,0,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5735.00,112.36,-112.34,0,0.960000,0.156000,-0.078000,0,0.970000,0.056000,-0.058000,0,-0.0300,0.1340,-0.1730,0,[Fe/H],4.470000,0.059000,-0.129000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h33m14.81s,293.3116962,+46d02m29.95s,46.0416516,1385.70000000,60.57000000,-55.79000000,15.5720000,0.0690000,-0.0690000,13.9290000,0.0750000,-0.0750000,15.5074000,0.0004020,-0.0004020,2016-05-06,2016-05,2016-05-10
Kepler-14 b,Kepler-14,1,2,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BUCHHAVE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197....3B/abstract target=ref> Buchhave et al. 2011 </a>,6.79012300000,0.00000430000,-0.00000430000,0,,,,,12.73300000,0.81800000,-0.60500000,0,1.13600000,0.07300000,-0.05400000,0,2669.66000000,2669.66000000,111.24000000,-108.06000000,0,8.40000000,0.35000000,-0.34000000,0,Mass,0.035000,0.020000,-0.020000,0,,,,,,,,,0,<a refstr=BUCHHAVE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197....3B/abstract target=ref> Buchhave et al. 2011 </a>,,6395.00,60.00,-60.00,0,2.048000,0.112000,-0.084000,0,1.512000,0.043000,-0.043000,0,0.1200,0.0600,-0.0600,0,[Fe/H],3.994000,0.028000,-0.036000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m50.12s,287.7088140,+47d19m58.98s,47.3330500,,,,12.0030000,0.0270000,-0.0270000,10.9880000,0.0110000,-0.0110000,,,,2014-05-14,2011-11,2014-05-14
